"1","Etat - Peuple - Autorités"
"10","Constitution fédérale"
"105","Législation d'urgence"
"11","Armoiries. Siège de la Confédération. Fête nationale"
"12","Sécurité de la Confédération"
"13","Confédération et Cantons"
"131","Garantie et publication des constitutions cantonales"
"132","Territoire"
"133","Maintien de la tranquilité et de l'ordre"
"134","Collaboration entre les cantons"
"138","Cantons et politique extérieure de la Confédération"
"14","Droit de cité. Établissement. Séjour"
"141","Droit de cité suisse"
"142","Migration"
"143","Documents d'identité"
"15","Droits fondamentaux"
"150","Droit à la vie et liberté personnelle"
"151","Egalité"
"152","Libertés d'opinion et d'information"
"16","Droits politiques"
"17","Autorités fédérales"
"170","Dispositions générales des autorités fédérales"
"171","Assemblée fédérale"
"172","Conseil fédéral et administration fédérale"
"173","Autorités judiciaires fédérales"
"18","États et église"
"19","Affaires étrangères"
"191","Relations diplomatiques et consulaires"
"192","Organisations internationales"
"193","Règlements des conflits internationaux"
"194","Promotion de l'image de la Suisse à l'étranger"
"195","Personnes et institutions suisses à l'étranger"
"196","Valeurs patrimoniales d'origine illicite"
"197","Prestations de sécurité privées fournies à l'étranger"
"198","Activités menées dans la zone de l'Antarctique"
"2","Droit privé - Procédure civile - Exécution"
"21","Code civil"
"211","Dispositions complémentaires et d'exécution du code civil"
"22","Code des obligations"
"221","Dispositions complémentaires et d'exécution du code des obligations"
"23","Propriété intellectuelle et protection des données"
"230","Institut Fédéral de la Propriété Intellectuelle"
"231","Droit d'auteur"
"232","Propriété industrielle"
"235","Protection des données"
"24","Concurrence déloyale"
"25","Cartels"
"27","Procédure civile"
"28","Poursuite pour dettes et faillite"
"281","Procédure ordinaire dans la poursuite pour dettes et faillite"
"282","Procédures spéciales dans la poursuite pour dettes et faillite"
"29","Droit international privé"
"292","Dispositions pour l'application d'accords internationaux"
"3","Droit pénal - Procédure pénale - Exécution"
"31","Droit pénal ordinaire"
"311","Code pénal suisse"
"312","Procédure pénale"
"313","Droit pénal administratif"
"314","Amendres d'ordre"
"32","Droit pénal militaire"
"321","Code pénal militaire"
"322","Justice pénale militaire"
"33","Casier judiciaire"
"34","Exécution des peines"
"35","Entraide judiciaire. Extradition"
"351","Entraide judiciaire"
"353","Extradition"
"354","Transports de police"
"36","Coordination et prestation de service de la police"
"37","Personnes ayant aidé des fugitifs à l'époque du nazisme"
"4","Ecole - Science - Culture"
"41","Ecole"
"410","Espace suisse de formation"
"411","Ecole primaire"
"412","Formation professionnelle"
"413","Ecole moyenne"
"414","Haute école"
"415","Sport et activité physique"
"416","Aides à la formation"
"418","Diffusion de la formation suisse à l'étranger"
"419","Formation continue"
"42","Science et recherche"
"420","Encourgemant de la recherche et de l'innovation"
"421","Recherche sur l'être humain"
"422","Science de l'environnement"
"423","Radio et télévision"
"424","Recherche nucléaire"
"425","Droit comparé"
"426","Recherche dans le domaine de l'agriculture"," des forêts"," de la pêche et du comportement des animaux"
"427","Recherche industrielle"
"428","Recherche dans le domaine de la coopération au développement et de l'aide humanitaire"
"429","Météorologie et climatologie"
"43","Documentation"
"431","Statistique"
"432","Archives. Bibliothèques. Musées"
"44","Langues. Arts. Culture"
"441","Langues. Arts. Culture"
"442","Encouragement de la culture"
"443","Cinématographie"
"444","Transfert des biens culturels"
"446","Activités de jeunesse extra-scolaires"
"448","Promotion de l'image de la Suisse à l'étranger"
"45","Protection de la nature"," du paysage et des animaux"
"46","Protection des biens culturels en cas de conflit armé"
"5","Défense nationale"
"50","Défense nationale en général"
"51","Défense militaire"
"510","Organisation et administration militaires"
"511","Obligations militaires"
"512","Instruction militaire"
"513","Organisation de l'armée"
"514","Equipement militaire"
"515","Interdiction de certaines armes"
"516","Justice militaire"
"517","Protection des militaires"
"518","Protection des victimes de la guerre"
"519","Engagement de l'armée"
"52","Protection de la population et protection civile"
"53","Approvisionnement économique"
"6","Finances"
"61","Organisation générale"
"610","Régime constitutionnel"
"611","Gestion financière"
"613","Péréquation financière"
"614","Contrôle des finances"
"616","Octroi de subventions"
"617","Fondation des immeubles pour les organisations internationales"
"62","Monnaie. Banque nationale suisse"
"621","Monnaie"
"622","Banque nationale suisse"
"63","Douanes"
"631","Régime général douanier"
"632","Tarifs douaniers"
"64","Impôts"
"65","Echange de renseignements en matière fiscale"
"653","Echange automatique de renseignements en matières fiscale"
"654","Echange des déclarations pays par pays en matière fiscale"
"66","Taxe d'exemption de l'obligation de servir"
"67","Interdiction des arrangements fiscaux. Double imposition"
"671","Interdiction des arrangements fiscaux"
"672","Double imposition"
"68","Monopole de l'alcool"
"69","Régale cantonale du sel"
"7","Travaux publics - Energie - Transports et communications"
"70","Aménagement national"," régional et local du territoire"
"71","Expropriation"
"72","Travaux publics"
"721","Police des eaux et économie hydraulique"
"723","Améliorations du sol"
"725","Voies de transport"
"73","Energie"
"730","Energie en général"
"731","Forces hydrauliques. Energie électrique"
"732","Energie nucléaire"
"733","Combustibles"
"734","Installations électriques"
"74","Transports"
"740","Trafic combiné"
"741","Circulation routière"
"742","Chemins de fer"
"743","Installations à câbles"
"744","Entreprises de transport par automobiles et entreprises de trolleybus"
"745","Transport de voyageurs"
"746","Installations de transport par conduites"
"747","Navigation"
"748","Aviation"
"78","Postes et télécommunications"
"780","Mesures de surveillance"
"783","Poste"
"784","Télécommunications"
"8","Santé - Travail - Sécurité sociale"
"81","Santé"
"810","Médecine et dignité humaine"
"811","Professions médicales"
"812","Substances thérapeutiques"
"813","Produits chimiques"
"814","Protection de l'équilibre écologique"
"816","Dossier du patient"
"817","Denrées alimentaires et objets usuels"
"818","Lutte contre les maladies"
"819","Lutte contre les accidents"
"82","Travail"
"821","Contrat de travail"
"822","Protection des travailleurs"
"823","Marché du travail et possibilité de travail"
"824","Travail d'intérêt général"
"83","Assurance sociale"
"830","Partie générale du droit des assurances sociales"
"831","Assurances-vieillesse et survivants"," assurance-invalidité"
"832","Assurance en cas de maladie et d'accidents"
"833","Assurance militaire"
"834","Allocations pour perte de gain"
"836","Allocations familiales"
"837","Assurance- chômage"
"838","Assurance-maternité"
"84","Habitat"
"85","Assistance"
"851","Assistance des personnes dans le besoin séjournant en Suisse"
"852","Aide sociale aux ressortissants suisses à l'étranger"
"854","Aide sociale et aide d'urgence aux réfugiés"
"855","Apatrides"
"857","Consultation en matière de grossesse"
"858","Aide aux victimes d'infractions"
"86","Protection de la famille"
"9","Economie - Coopération technique"
"90","Politique régionale"
"91","Agriculture"
"910","Promotion de l'agriculture en général"
"911","Propriété foncière rurale"
"912","Cadastre de la production agricole"
"913","Améliorations structurelles dans l'agriculture"
"914","Crédit agricole"
"915","Formation professionnelle et recherche agricoles"
"916","Production agricole"
"917","Sécurité sociale"
"919","Exécution de la loi sur l'agriculture"
"92","Forêts. Chasse. Pêche"
"921","Forêts"
"922","Chasse"
"923","Pêche"
"93","Industrie"
"930","Industrie en général"
"931","Mines"
"932","Economie énergétique"
"933","Industrie de la construction"
"934","Industrie manufacturière"
"935","Services"
"94","Commerce"
"941","Monnaie. Poids et mesures. Métaux précieux. Substances explosibles"
"942","Prix"
"943","Exercice du commerce"
"944","Protection des consommateurs"
"946","Commerce extrérieur"
"95","Crédit"
"950","Services financiers"
"951","Instituts de crédit"
"952","Banques et caisses d'épargne"
"953","Gel des avoirs et trafic des paiements"
"954","Etablissements financiers"
"955","Blanchiment d'argent"
"956","Surveillance des marchés financiers"
"957","Titres intermédiés"
"958","Infrasctructures des marchés financiers"
"96","Assurance"
"961","Assurance privée"
"962","Assurance et sécurité sociale"
"97","Coopération économique et technique internationale"
"98","Indemnisation des intérêts suisses"
"99","Statistique économique"
